class,number,section,time,room,prof,enrollment
 ESLA 120 - Elementary ,6348,"001-LEC
Regular","MoTuWeTh 8:00AM - 4:30PM
MoTuWeTh 8:00AM - 4:30PM
MoTuWeTh 8:00AM - 4:30PM
MoTuWeTh 8:00AM - 4:30PM
MoTuWeTh 8:00AM - 4:30PM
MoTuWeTh 8:00AM - 4:30PM
MoTuWeThFr 8:00AM - 4:30PM
MoTuWeThFr 8:00AM - 4:30PM
Fr 8:00AM - 11:30AM
Fr 8:00AM - 11:30AM
Fr 8:00AM - 11:30AM
Fr 8:00AM - 11:30AM
Fr 8:30AM - 11:30AM
Fr 8:00AM - 11:30AM
Fr 8:00AM - 11:30AM
Mo 8:30AM - 4:30PM
Mo 8:30AM - 4:30PM
WeTh 8:30AM - 4:30PM
MoTu 8:30AM - 11:30AM
We 8:30AM - 11:30AM
We 8:30AM - 11:30AM
Fr 8:30AM - 11:30AM
Fr 8:30AM - 11:30AM
MoTuWeThFr 8:30AM - 4:30PM
MoTuWeThFr 8:30AM - 4:30PM
Su 8:30AM - 4:30PM
MoTuWeThFr 8:30AM - 4:30PM
MoTuWeThFrSaSu 12:00AM - 11:59PM","DUNCAN MCARTHUR RM A207N
DUNCAN MCARTHUR RM A207S
DUNCAN MCARTHUR RM A211N
DUNCAN MCARTHUR RM A211S
DUNCAN MCARTHUR  RM A313N
DUNCAN MCARTHUR RM A313S
DUNCAN MCARTHUR RM A317N
DUNCAN MCARTHUR ROOM A317S
DUNCAN MCARTHUR RM A207N
DUNCAN MCARTHUR RM A207S
DUNCAN MCARTHUR RM A211N
DUNCAN MCARTHUR RM A211S
DUNCAN MCARTHUR  RM A313N
DUNCAN MCARTHUR RM A313S
DUNCAN MCARTHUR RM A343
DUNCAN MCARTHUR RM A301N
DUNCAN MCARTHUR RM A301S
DUNCAN MCARTHUR RM A343
DUNCAN MCARTHUR RM B180
DUNCAN MCARTHUR RM B180
DUNCAN MCARTHUR RM B219
DUNCAN MCARTHUR RM A301N
DUNCAN MCARTHUR RM A301S
DUNCAN MCARTHUR RM342A
DUNCAN MCARTHUR RM342B
DUNCAN MCARTHUR  RM A313N
DUNCAN MCARTHUR RM A313S
DUNCAN MCARTHUR RM A339","Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff
Staff",2
 FREN 150B - Français intermédiaire ,2527,"018-TUT
Regular",Mo 8:30AM - 9:30AM,JOHN WATSON RM207,Staff,6
 FREN 150B - Français intermédiaire ,2528,"019-TUT
Regular",Mo 8:30AM - 9:30AM,TBA,Staff,6
 FREN 331 - Rédaction et style II ,2521,"001-LEC
Regular","Mo 8:30AM - 10:00AM
Th 10:00AM - 11:30AM","ELLIS RM321
KINGSTON RM208","Offredi,Frederique A
Offredi,Frederique A",22
 GEOE 359 - Applied Quantitative Analysis in Geological Engineering ,5048,"002-TUT
Regular",Mo 8:30AM - 9:30AM,BRUCE RM234A,"Fotopoulos,Georgia",34
 GEOE 466 - Isotopes & The Environment ,5056,"002-LAB
Regular",Mo 8:30AM - 11:30AM,MILLER RM409,"Kyser,Kurtis T",6
 GEOL 359 - Applications of Quantitative Analysis in Geological Sciences ,5065,"002-TUT
Regular",Mo 8:30AM - 9:30AM,BRUCE RM234A,"Fotopoulos,Georgia",34
 GEOL 466 - Isotopes and the Environment ,5077,"002-LAB
Regular",Mo 8:30AM - 11:30AM,MILLER RM409,"Kyser,Kurtis T",6
 GNDS 802 - Methodologies in Gender Studies ,6106,"001-LEC
Regular",Mo 8:30AM - 11:30AM,MACINTOSH-CORRY RM C416,"Little,Margaret J H",12
 GPHY 209 - Principles of Hydroclimatology ,2855,"005-PRA
Regular",Mo 8:30AM - 10:00AM,MACINTOSH-CORRY RM E104,"Lamoureux,Scott",17
 GPHY 247 - Introduction to Statistics ,2876,"002-LAB
Regular",Mo 8:30AM - 10:00AM,ELLIS RM333,"Nelson,William",21
 GPHY 345 - Spatial Analysis ,2843,"001-LEC
Regular",Mo 8:30AM - 10:30AM,MACINTOSH-CORRY RM E223,"Chen,Dongmei",19
 GPHY 823 - Chem Cycling In Cold Regions ,6042,"001-SEM
Regular",Mo 8:30AM - 11:30AM,TBA,"Lafreniere,Melissa J",4
 HIST 390B - Topics in History ,2818,"003-SEM
Regular",Mo 8:30AM - 11:30AM,KINGSTON RM210,"Duffett,Angela",13
 HIST 400 - Topics in History ,2807,"004-SEM
Regular",Mo 8:30AM - 11:30AM,MACINTOSH-CORRY RM D405,"Salzmann,Ariel",12
