class,number,section,time,room,prof,enrollment
 ELEC 299 - Mechatronics Project ,3575,"002-LAB
Regular","Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM","BEAMISH-MUNRO RM314
BEAMISH-MUNRO RM314
BEAMISH-MUNRO RM314
BEAMISH-MUNRO RM314
BEAMISH-MUNRO RM314
BEAMISH-MUNRO RM314
BEAMISH-MUNRO RM314","Li,Hao
Li,Hao
Li,Hao
Li,Hao
Li,Hao
Li,Hao
Li,Hao",56
 ELEC 324 - Discrete-Time Signals and Systems ,3566,"004-LAB
Regular","Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM
Tu 8:30AM - 11:30AM","BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM212","Blostein,Steven D
Blostein,Steven D
Blostein,Steven D",25
 ELEC 443 - Control Systems I ,4985,"004-LAB
Regular",Tu 8:30AM - 11:30AM,BEAMISH-MUNRO RM326,Staff,23
 ENCH 245 - Applied Organic Chemistry I ,2728,"004-LAB
Regular",Tu 8:30AM - 11:30AM,CHERNOFF RM118,Staff,77
 ENCH 321 - Instrumental Chemical Analysis ,2729,"001-LEC
Regular","Tu 8:30AM - 9:30AM
We 10:30AM - 11:30AM
Fr 9:30AM - 10:30AM","STIRLING RM412A
STIRLING RM412A
STIRLING RM412A","Oleschuk,Richard
Oleschuk,Richard
Oleschuk,Richard",55
 ENCH 422 - Synthetic Organic Chem ,2739,"002-TUT
Regular",Tu 8:30AM - 9:30AM,CHERNOFF RM415,"Evans,P. Andrew",4
 ENGL 238 - Comics and Graphic Novels ,2015,"001-LEC
Regular","Tu 8:30AM - 10:00AM
Fr 10:00AM - 11:30AM","BOTTER RM B143
BOTTER RM B143","Pacas,Nicole Allison Marian
Pacas,Nicole Allison Marian",98
 ENGL 421 - Topics in Renaissance Literature I ,5640,"001-SEM
Regular","Tu 8:30AM - 10:00AM
Fr 10:00AM - 11:30AM","MACINTOSH-CORRY RM D216
MACINTOSH-CORRY RM D216","McKague,Cathleen Meghan
McKague,Cathleen Meghan",17
 ENPH 213 - Computational Eng. Physics ,4712,"001-LEC
Regular","Tu 8:30AM - 9:30AM
We 10:30AM - 11:30AM","BIOSCI RM1103
BIOSCI RM1103","Robbie,Kevin J
Robbie,Kevin J",70
 ENPH 495 - Intro To Medical Physics ,5281,"001-LEC
Regular","Tu 8:30AM - 9:30AM
We 10:30AM - 11:30AM
Fr 9:30AM - 10:30AM","STIRLING RM412C
STIRLING RM412C
STIRLING RM412C","Salomons,Greg,
Schreiner,John L
Salomons,Greg,
Schreiner,John L
Salomons,Greg,
Schreiner,John L",49
 EPID 301 - Principles of Epidemiology ,2070,"001-LEC
Regular","Tu 8:30AM - 10:00AM
Fr 10:00AM - 11:30AM","STIRLING RM B
STIRLING RM B","Ouellette-Kuntz,Helene M J
Ouellette-Kuntz,Helene M J",124
